#AI技能顺序表					
#ID规则(预留20个，以角色id*20+1开始到id*20+20)	名称	动作的骨骼名称	X轴施法距离（与敌方目标距离该距离以内则施法技能）	Z轴施法距离（只提供跳攻参考，其他动作不选用该字段）	释放概率
int	string	string	int	int	int
id	name	SkillName	xDis	zDis	Weight
61	山石姬	atk1	200	100	3
62	山石姬	skill1	1080	100	5
63	山石姬	skill2	400	100	4
64	山石姬	skill3	1080	100	8
65	山石姬	jump	300	-300	1
81	绿崽	atk1	300	100	5
82	绿崽	skill1	550	100	10
83	绿崽	skill2	500	100	10
84	绿崽	skill3	300	100	20
85	绿崽	jump	300	-300	1
101	艾丽查卡多	atk1	200	100	2
102	艾丽查卡多	skill1	600	100	5
103	艾丽查卡多	skill2	800	100	10
104	艾丽查卡多	skill3	200	100	20
105	艾丽查卡多	jump	300	-300	1
121	技术草	atk1	300	100	4
122	技术草	skill1	500	100	8
123	技术草	skill2	300	100	10
124	技术草	skill3	3000	100	20
125	技术草	jump	300	-300	1
141	佐二少	atk1	200	100	5
142	佐二少	skill1	300	100	10
143	佐二少	skill2	250	100	12
144	佐二少	skill3	600	100	20
145	佐二少	jump	300	-300	1
161	吃货一郎	atk1	300	100	1
162	吃货一郎	skill1	350	100	8
163	吃货一郎	skill2	400	100	10
164	吃货一郎	skill3	3000	100	20
167	吃货一郎	jump	300	-300	1
181	阿木木	atk1	300	100	1
182	阿木木	skill1	600	100	5
183	阿木木	skill2	300	100	0
184	阿木木	skill3	600	100	10
185	阿木木	jump	300	-300	1
201	糯米团子	atk1	300	100	1
202	糯米团子	skill1	600	100	10
203	糯米团子	skill2	200	100	2
204	糯米团子	skill3	400	100	20
207	糯米团子	jump	300	-300	1
221	金刚狼	atk1	300	100	1
222	金刚狼	skill1	300	100	1
223	金刚狼	skill2	300	100	1
224	金刚狼	skill3	300	100	1
227	金刚狼	jump	300	-300	1
241	机器人	atk1	300	100	1
242	机器人	skill1	300	100	1
243	机器人	skill2	300	100	1
244	机器人	skill3	300	100	1
247	机器人	jump	300	-300	1
