#成就表							
#id	成就类型	成就类型说明（仅供策划使用）	成就名称	达成条件值	成就说明	成就奖励（填写物品ID）	奖励数量
int	int	string	string	int	string	int	int
id	AchievementType	TypeName	AchievementName	CompleteConditionNumber	AchievementInstruction	AchievementReward	RewardNumber
1	1	金币累计消耗数量	小地主	1000	累计消耗1000金币	2107	1
2	1	金币累计消耗数量	大地主	2000	累计消耗2000金币	2107	2
3	1	金币累计消耗数量	不差钱	5000	累计消耗5000金币	2107	5
4	1	金币累计消耗数量	潘金链	10000	累计消耗10000金币	2108	1
5	1	金币累计消耗数量	贵妇人	20000	累计消耗20000金币	2108	2
6	1	金币累计消耗数量	金不换	50000	累计消耗50000金币	2108	5
7	1	金币累计消耗数量	豪莱坞	100000	累计消耗100000金币	2108	10
8	1	金币累计消耗数量	一掷千金	200000	累计消耗200000金币	2108	20
9	1	金币累计消耗数量	土豪之家	300000	累计消耗300000金币	2108	30
10	1	金币累计消耗数量	点石成金	400000	累计消耗400000金币	2108	40
11	1	金币累计消耗数量	百万富翁	500000	累计消耗500000金币	2101	10
12	1	金币累计消耗数量	财大气粗	1000000	累计消耗1000000金币	2102	10
13	1	金币累计消耗数量	壕不犹豫	2000000	累计消耗2000000金币	2102	20
14	1	金币累计消耗数量	金银财宝	3000000	累计消耗3000000金币	2102	30
15	1	金币累计消耗数量	雍容华贵	4000000	累计消耗4000000金币	2102	40
16	1	金币累计消耗数量	腰缠万贯	5000000	累计消耗5000000金币	2102	50
17	1	金币累计消耗数量	富贵逼仄	10000000	累计消耗10000000金币	2102	100
18	1	金币累计消耗数量	一方霸主	20000000	累计消耗20000000金币	2102	200
19	1	金币累计消耗数量	穿金戴银	30000000	累计消耗30000000金币	2102	300
20	1	金币累计消耗数量	堆金叠玉	40000000	累计消耗40000000金币	2102	400
21	1	金币累计消耗数量	壕气干云	50000000	累计消耗50000000金币	2102	500
22	1	金币累计消耗数量	挥金如土	100000000	累计消耗100000000金币	2105	100
23	1	金币累计消耗数量	富豪世家	200000000	累计消耗200000000金币	2105	200
24	1	金币累计消耗数量	金山银山	300000000	累计消耗300000000金币	2105	300
