#音效信息		
#ID	音效名称	备注
int	string	string
id	SoundName	Remarks
1	a_HEIYANatk1	黑岩普攻挥刀
2	a_HEIYANatk2	黑岩普攻挥刀
3	a_HEIYANatk3	黑岩普攻放子弹
4	a_HEIYANskill1	黑岩技能机关枪
5	a_HEIYANskill2	黑岩技能激光枪
6	a_HEIYANskill3	黑岩技能导弹
7	a_HEIYANdie	黑岩死去
8	a_HEIYANjumpatk	黑岩跳攻
9	a_HEIYANthrow	黑岩投掷
10	a_LVJURENatk1	绿巨人普攻出拳
11	a_LVJURENatk2	绿巨人普攻出拳
12	a_LVJURENatk3	路巨人普攻砸地
13	a_LVJURENskill1a	绿巨人冲刺技能
14	a_LVJURENskill2	绿巨人跳起技能
15	a_LVJURENskill3	绿巨人砸车技能
16	a_LVJURENjump	绿巨人跳
17	a_LVJURENdie	绿巨人死
18	a_bethrow	被投掷
19	a_fatdown	胖子被打落地
20	a_thindown	瘦子被打落地
21	a_dici	地刺攻击
22	a_jingdong	掉入井洞
23	a_thinjumpfull	瘦子跳落地
24	a_fatjumpfull	胖子跳落地
25	a_glide	滑动
26	a_LVJURENskill1b	绿巨人冲刺技能
27	a_HEIYANjump	黑岩跳起
28	a_SISHENatk1	死神普攻挥镰
29	a_SISHENatk2	死神普攻挥镰
30	a_SISHENatk3	死神普攻挥镰
31	a_SISHENskill1	死神技能鬼影
32	a_SISHENskill2	死神技能凝冰
33	a_SISHENskill3	死神技能法阵
34	a_HEIYANstart	死神起跳
35	a_SISHENdie	死神死亡
36	a_LVJURENatk1	技术草普攻出拳
37	a_LVJURENatk1	技术草普攻出拳
38	a_LVJURENatk2	技术草普攻出拳
39	a_CAOskill1	技术草小火
40	a_CAOskill2	技术草大火加攻
41	a_CAOskill3	技术草冲刺
42	a_CAOdie	技术草死亡
43	a_HEIYANjump	技术草起跳
44	a_HEIYANstart	黑岩出场
45	a_LVJURENstart	绿巨人出场叫
46	a_CAOstart	暂无
47	a_SISHENstart	镰刀出现
48	a_ZUOZHUatk1	佐助普攻1
49	a_ZUOZHUatk2	佐助普攻2
50	a_ZUOZHUatk3	佐助普攻3
51	a_ZUOZHUskill1	豪火球
52	a_ZUOZHUskill2	写轮眼
53	a_ZUOZHUskill3a	雷切
54	a_ZUOZHUskill3b	雷切2
55	a_ZUOZHUdie	佐助死
56	a_ZUOZHUstart	佐助出现
57	a_ZUOZHUjumpatk	佐助跳攻
58	a_LUFEIstart	路飞出场
59	a_LVJURENatk2	路飞普攻1
60	a_LUFEIatk2	路飞普攻2
61	a_LUFEIatk3	路飞普攻3
62	a_LUFEIskill1	路飞技能机关枪
63	a_LUFEIskill1_1	机关枪二号
64	a_LUFEIskill2	路飞技能大手
65	a_LUFEIskill2	大手二号
66	a_LUFEIskill3	路飞技能换档
67	a_LUFEIdie	路飞死
68	a_LUFEIjump	路飞跳
69	a_LVJURENatk2	路飞跳攻
70	a_MIANHUAatk1	棉花糖普攻1
71	a_MIANHUAatk1	棉花糖普攻2
72	a_MIANHUAatk1	棉花糖普攻3
73	a_MIANHUAskill1	棉花糖混蛋
74	a_MIANHUAskill2	棉花糖冰屋
75	a_MIANHUAskill3	棉花糖吼叫
76	a_MIANHUAskill3a	棉花糖冰凌
77	a_LVJURENjump	棉花糖跳
78	a_MIANHUAdie	棉花糖死
79	a_MIANHUAstart	棉花糖出场
80	a_MIANHUAthrow	棉花糖投掷
81	a_JIANGatk1	僵sir普攻
82	a_LVJURENatk1	僵sir普攻
83	a_JIANGatk3	僵sir普攻
84	a_JIANGskill1	龙卷
85	a_JIANGskill2	哭
86	a_JIANGskill3a	扔绷带
87	a_JIANGskill3b	烟花
88	a_HEIYANjump	跳
89	a_JIANGjumpatk	跳攻
90	a_JIANGstart	出场
91	a_JIANGdie	死神技能凝冰
