#技能信息表																																								
#ID	人物ID（填写0默认对所有角色有效）	动作ID	技能名称	技能ICON	动作CD，毫秒	命中敌人后的动作CD（在动作CD基础上额外增加时间）	攻击命中后顿帧时间（敌我双方都会顿帧）	僵直时间	是否触发霸体	霸体持续时间	霸体值强度	技能伤害系数	伤害初始附加值	成长类型（1伤害成长 2buff持续时间增长）	成长参数	攻击次数（除去副伤值）	技能等级上限	Y轴伤害范围	释放技能是否屏幕跟着移动（0不锁定、1锁定）	击倒时间	是否带人（0表示不带、1表示带）	与被带人的X轴距离（不带人时不填）	与被带人的Z轴距离（不带人时不填）	碰撞速度比例(对方的速度=自己的速度/比例)	攻击造成的魔法消耗恢复	攻击命中回复魔法	攻击造成敌方魔法量消耗	帧播放速度	攻击类型(1为物攻，2位魔攻，无类型放空)	动作音效	动作配音	受击音效	携带仇恨值	是否必定命中（0表示不做特殊处理，1表示必定命中）	地面特效是否隐藏（0表示不隐藏、1表示隐藏）	技能条件类型（1在X%血量内可施放）	技能条件数值	BuffID(多个Buff使用#号分隔)	技能描述	技能第二行描述
int	int	string	string	string	float	float	float	float	int	int	int	float	float	int	float	int	int	int	int	float	float	float	float	float	float	float	float	float	float	string	string	string	int	int	int	int	float	string	string	string
id	RoleId	ActionName	SkillNames	SkillIcon	CD	HitExtraCD	PauseFrame	StiffTime	IfTriggerPA	PATime	PAPower	DamageCoefficient	DamageInitialValue	UpType	GrowthValue	AtkTimes	SkillLevelCap	hurtY	screenYLock	hitDownTime	IfTakeRole	TakeRoleDisX	TakeRoleDisZ	AtkSameSpeed	AtkMagicRecovery	AtkHitMagicRecovery	AtkConsumeMagic	TimeScale	AtkType	Sound	Dubbing	GetHitSound	HatredValue	IfHit	EffectHide	SkillConditionType	SkillConditionNum	BuffID	SkillDescribe	SkillDescribe2
1	3	atk1		pugong-up	0	0	0.1	0.1	1	0		1	 						0	2	0			0	0	2	0	1	1			a_daohurt	10	0	0					
2	3	atk2			0	0	0.1	0.1	1	0		1.5	 						0	2	0			0	0	2	0	1	1			a_daohurt	10	0	0					
3	3	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
4	3	skill1	散射	heiyanjineng1	2000	0	0.1	0.1	1	0		0.5	1	1	20	8	90		0	2	0			0	-8	1	0	1	1			a_qianghurt	5	0	0				对敌人进行扫射，虽然时间短暂，但伤害可观        	每释放一次会给敌人造成$点伤害
5	3	skill2	领域激光	heiyanjineng2	6000	0	0.1	1	1	2	120	4	4	1	20	1	90		1	2	0			0	-20		0	1	1			a_qianghurt	10	0	0				击退敌人并给自己增加霸体	每释放一次会给敌人造成$点伤害
6	3	skill3	榴弹	heiyanjineng3	10000	0	0.1	0.1	1	0		4	5	1	30	3	90		0	2	0			0	-70		0	1	1			a_paohurt	20	0	0				如果你能够瞄准敌人，那将是他们的末日	每释放一次会给敌人造成$点伤害
7	0	up			0	0	0	0	1	2.5	200	1		1	0			0	0	2	0			0			0	1					10	0	0					
8	3	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		0	0						0	2	0			0	0	1	0	1	1			a_qianghurt	10	0	0					
9	3	throwout			0	0	0.1	0.1	1	0		1							0	2	0			0	0	2	0	1	1			a_daohurt	10	0	0					
11	4	atk1		pugong-up	0	0	0.1	0.1	1	0		1							0	2	0			0	0	1	0	1.5	1			a_quanhurt	20	0	0					
12	4	atk2			0	0	0.1	0.1	1	0		1.5							0	2	0			0	0	1	0	1.5	1			a_quanhurt	30	0	0					
13	4	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	1	0	1.5	1			a_quanhurt	40	0	0					
14	4	skill1	疾风劲力	lvjurenjineng1	4000	6000	0.1	0.1	1	1	100	0.5	2	1	15	1	90		0	4	1	60	0	3	-20		0	1	1			a_quanhurt	20	0	0				将前方敌人扑倒攻击，控制敌人的最佳利器	每释放一次会给敌人造成$点伤害
15	4	skill2	壮士冲冠	lvjurenjineng2	8000	0	0.1	0.5	1	1	50	2	2	1	20	3	90		1	4	0			0	-20		0	1	1			a_quanhurt	30	0	1			13	跳起来攻击敌人，但需要注意没有霸体的绿崽会十分脆弱	每释放一次会给敌人造成$点伤害
16	4	skill3	震怒	lvjurenjineng3	10000	0	0.1	2	1	3.5	100	4	5	1	30	3	90		0	2	0			0	-60		0	1	1			a_quanhurt	40	1	0				用手中的车攻击敌人，夺取敌人的有生力量	每释放一次会给敌人造成$点伤害
17	4	skill1-1			4000	0	0.1	0.1	1	3	100	1	2	1	3	6	90		0	2	1	10	0	3	0		0	1	1			a_quanhurt	10	0	0					
18	4	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		1							0	2	0			0		5	0	1	1			a_qianghurt	10	0	0					
20	5	atk1		pugong-up	0	0	0.1	0.1	1	0		1							0	2	0			0	0	3	0	1.5	1			a_daohurt	10	0	0					
21	5	atk2			0	0	0.1	0.1	1	0		1.5							0	2	0			0	0	3	0	1.5	1			a_daohurt	10	0	0					
22	5	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	3	0	1.5	1			a_daohurt	10	0	0					
23	5	skill1	达纳特斯阵	sishenjineng1	8000	6000	0.1	0.1	1	3	50	0.8	3	1	20	8	90		0	6	1	120	0	3	-30	1	0	1	2			a_daohurt	5	1	0				在敌人脚下召唤阵法，带起敌人并将对方狠狠摔在地上	每释放一次会给敌人造成$点伤害
24	5	skill2	冰镰	sishenjineng2	13000	0	0.1	0.1	1	0		2	5	1	25	6	90		0	2	0			0	-35	1	0	1.5	2			a_icyhurt	5	0	0			10	远距离冰属性攻击，冰柱在手，天下我有	每释放一次会给敌人造成$点伤害
25	5	skill3	禁厌术	sishenjineng3	15000	0	0	0.1	1	4	50	1	5	1	35	16	90		0	8	1	0	300	0	-60	1	0	1	2			a_daohurt	5	0	0				以自己的身躯为媒介召唤恶灵为己所用	每释放一次会给敌人造成$点伤害
26	5	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		1							0	2	0			0		5	0	1	1			a_qianghurt	10	0	0					
30	6	atk1		pugong-up	0	0	0.1	0.1	1	0		1							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
31	6	atk2			0	0	0.1	0.1	1	0		1.5							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
32	6	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
33	6	skill1	焰袭	caotijingjineng1	6000	6000	0	0.1	1	1	100	0.5	1	1	25	1	90		0	2	1	120	0	0	-20		0	1	1				20	1	0				附加霸体的突进技能，快速移动后发动攻击	每释放一次会给敌人造成$点伤害
34	6	skill2	炽焰拳	caotijingjineng2	10000	0	0	0.1	1	0		0.7	1	1	25	22	90		0	2	0			0	-30		0	1	2				20	0	0				伤害极高的火系技能，并附加360度花式螺旋踢	每释放一次会给敌人造成$点伤害
35	6	skill3	苍炎色	caotijingjineng3	40000	0	0	0.1	1	20	110	0.2	2	1	10	12	90	9999	0	2	0			0	-30		0	1	1			a_huohurt	30	0	0			1	给自己附加霸体，做到真正意义上的天下无敌	每释放一次会给敌人造成$点伤害
36	6	skill1-1			6000	0	0	0.1	1	2.5	100	0.8	1	1	15	7	90		0	2	1	40	0	3	0		0	1	1			a_quanhurt	10	0	0					
37	6	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		1							0	2	0			0		5	0	1	1			a_qianghurt	10	0	0					
40	7	atk1		pugong-up	0	0	0.1	0.1	1	0		1							0	2	0			0	0	2	0	1	1				10	0	0					
41	7	atk2			0	0	0.1	0.1	1	0		1.5							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
42	7	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	2	0	1	1			a_daohurt	10	0	0					
43	7	skill1	流火之乌	zuozhujineng1	8000	0	0.1	0.1	1	0.5	40	1	1	1	20	8	90		0	2	0		0	0	-20		0	1.5	1				10	0	0				结印并喷出火焰，伤害不俗	每释放一次会给敌人造成$点伤害
44	7	skill2	万花筒	zuozhujineng2	13000	0	0	1	1	3	100	0.3	0.5	1	10	21	90		0	2	0			0	-25	1	0	1	2				10	0	0			9	在自己周身燃起火焰，控制并伤害那些离自己太近的人	每释放一次会给敌人造成$点伤害
45	7	skill3	云岛出雷	zuozhujineng3	15000	0	0	0.1	1	1	40	0.3	2	1	10	8	90		0	2	0			0	-60		0	1.5	2				20	1	0				伤害极高的二段式雷系攻击，发动时要注意时机	每释放一次会给敌人造成$点伤害
46	7	skill3-1			8000	0	0	3	1	2	130	1	1	1	30	20	90	100	0	2	1	220	0	0	0		0	1.5	1				30	1	0					
47	7	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		1							0	2	0			0	0	5	0	1	1			a_qianghurt	10	0	0					
50	8	atk1		pugong-up	0	0	0.1	0.1	1	0		1							0	2	0			0	0	2	0	1.5	1			a_quanhurt	10	0	0					
51	8	atk2			0	0	0.1	0.1	1	0		1.5							0	2	0			0	0	2	0	1.5	1				10	0	0					
52	8	atk3			0	0	0.1	0.1	1	0		2							0	2	0			0	0	2	0	2	1				10	0	0					
53	8	skill1	橡皮手弹	lufeijineng1	6000	0	0	0.1	1	1	20	0.5	0.2	1	20	30	90		0	2	0			0	-30		0	1	1				30	0	0				快速出拳，将敌人打成一块有个性的蜂窝煤！	每释放一次会给敌人造成$点伤害
54	8	skill2	巨力	lufeijineng2	8000	0	0	0.1	1	2	150	13	5	1	25	1	90		0	2	0			0	-35		0	1.5	1			a_quanhurt	20	1	0				将自己的手变大，一掌下去，那酸爽……	每释放一次会给敌人造成$点伤害
55	8	skill3	主角光环	lufeijineng3	50000	0	0	0.1	1	20	30		0	2	0		90	9999	0	2	0			0	0		0	1	1				10	0	0	1	60	12	改变技能1、2效果，持续时间随英雄等级增加	每释放一次效果持续$秒
56	8	skill1-1		lufeijineng1-1	6000	0	0	0.1	1	2	120	1	0.2	1	25	30	90		0	2	0			0	-30		0	1	1				30	0	0					
57	8	skill2-1		lufeijineng2-1	8000	0	0	0.1	1	2	150	30	6	1	30	1	90	100	1	2	0			0	0		0	1.5	1			a_quanhurt	20	1	0					
58	8	jumpatk		hyjn-tiao	0	0	0.1	0.5	1	0		1							0	2	0			0	0		0	1	1			a_quanhurt	10	0	0					
60	9	atk1			0	0	0.1	0.1	1	0		0.2							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
61	9	atk2			0	0	0	0.1	1	0		1.5							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
62	9	atk3			0	0	0	0.1	1	0		0.3							0	2	0			0	0	2	0	1	1			a_quanhurt	10	0	0					
63	9	skill1	回旋曲	amumujineng1	8000	6000	0.1	5	1	0		0.6	1	1	20	13	90		0	2	1			0	-30		0	1	2			a_quanhurt	50	0	0			4	知道什么是热带回旋吗，要不要我表演给你看？	每释放一次会给敌人造成$点伤害
64	9	skill2	暴雨梨花	amumujineng2	13000	0	0	0	1	3	80	2	1	1	25	3	90		0	2	0			0	-30		0	1	2				50	0	0			5	你再打我，信不信我哭给你看！	防御敌人造成的大部分伤害
65	9	skill3	豪宴	amumujineng3	13000	3000	0.1	0.1	1	0		1	1	1	30	1	90		0	2	0			0	-60		0	1	2			a_quanhurt	100	1	0				将远处敌人拉到身前，有一场宴会需要他们的参与	每释放一次会给敌人造成$点伤害
