#作用力信息											百分比提升													1.整数 2.(0.01 ,1) 3.(0.01,1) 4.(0.01,合理值)			
#ID	Buff效果说明（策划用于备注信息）	Buff类型（0表示增益BUFF—针对玩家自身、1表示debuff---针对敌方）	Buff子类型（特殊的buff：1、眩晕；2、冰冻）	Buff特效	Buff位置（1头顶光环 2两膝盖中心处）	Buff持续时间	血量回复类型(1.数值回复;2.百分比回复)	血量回复参数(数值回复直接数值，百分比回复写(0~1))	魔法回复类型(1.数值回复;2.百分比回复)	魔法恢复	物攻(0,合理值]	物防(0,合理值]	魔攻(0,合理值]	魔防(0,合理值]	命中(0,合理值]	闪避(0,合理值]	暴击率(0,合理值]	暴击抵抗(0,合理值]	暴击伤害(0,合理值]	物理穿透(0,合理值]	魔法穿透(0,合理值]	速度提升百分比（移动动力*百分比）(0,合理值]	伤害剩余百分比[0.01,合理值]	持续掉血的伤害参数(不同的类型对于参数的解读也是不一样的请注意)	流血类型(示例:1#1 - 固定伤害流死 解读：#号前：1.固定伤害，2.最高血量百分比，3.当前血量百分比伤害，4.相对基础伤害百分比伤害；#号后：1.流死，2.流不死 )	持续掉血的间隔时间（单位：秒）	技能转换（技能名称1#转换技能名称1-1;技能名称2#转换技能名称2-1）
int	string	int	int	string	int	float	int	float	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string	float	string
id	Effect	BuffType	BuffSubType	BuffEffect	BuffPosition	BuffTime	HPRecType	HPRecParameter	MPRecType	MPRecParameter	STRUp	DEFUp	ATSUp	ADFUp	DEXUp	AGLUp	CRLUp	CRTUp	CRSUp	DIGUp	AIGUp	MOVUp	DmgSurplus	DOTParameter	DOTType	DOTIntervalTime	SkillChange
1	草薙京技能3	0		fangyubuff	1	20						1.5															
2	棉花糖技能2	0			1	5																	0.1				
3	棉花糖技能2	0		gongjibuff	1	15							1.5														
4	阿木木技能1	1			2	5						0.5		0.5		0.01											
5	阿木木技能2	1				5																0.2					
6		1				10																					
7		1				5					0.5																
8		1				5						0.5															
9	佐助技能2	1	1	xuanyunbuff	1	5																					
10	萝莉技能2	1	2	bingdongxiaoguo	2	5																					
11	棉花糖技能3	1	2	bingdongxiaoguo	2	5																					
12	路飞技能3	0		gongjibuff	1	20																					skill1#skill1-1;skill2#skill2-1
13	绿巨人技能2眩晕	1	1	xuanyunbuff	1	5																					
