#宝箱表						
#id	宝箱ID	包含类型（1、装备；2、道具）	物品ID	获得权重	获得数量	备注
int	int	int	int	float	int	string
id	ChestID	Type	ItemID	Wight	GetNumber	Remark
1	1	1	10001	10	1	白色装备
2	1	1	10002	10	1	白色装备
3	1	1	10003	10	1	白色装备
4	1	1	10004	10	1	白色装备
5	1	1	10005	10	1	白色装备
6	1	1	10006	10	1	白色装备
7	1	2	1003	20	1	山石姬碎片
8	1	2	3	1	1	山石姬
9	1	2	2001	20	1	初级经验丹
10	1	2	3000	20	1	强化石
11	2	1	10001	10	1	白色装备
12	2	1	10002	10	1	白色装备
13	2	1	10003	10	1	白色装备
14	2	1	10004	10	1	白色装备
15	2	1	10005	10	1	白色装备
16	2	1	10006	10	1	白色装备
17	2	1	10007	5	1	绿色装备
18	2	1	10008	5	1	绿色装备
19	2	1	10009	5	1	绿色装备
20	2	1	10010	5	1	绿色装备
21	2	1	10011	5	1	绿色装备
22	2	1	10012	5	1	绿色装备
23	2	2	1003	20	1	山石姬碎片
24	2	2	3	1	1	山石姬
25	2	2	2001	20	1	初级经验丹
26	2	2	3000	20	1	强化石
27	2	2	1004	20	1	绿崽碎片
28	2	2	4	1	1	绿崽
29	3	1	10001	10	1	白色装备
30	3	1	10002	10	1	白色装备
31	3	1	10003	10	1	白色装备
32	3	1	10004	10	1	白色装备
33	3	1	10005	10	1	白色装备
34	3	1	10006	10	1	白色装备
35	3	1	10007	10	1	绿色装备
36	3	1	10008	10	1	绿色装备
37	3	1	10009	10	1	绿色装备
38	3	1	10010	10	1	绿色装备
39	3	1	10011	10	1	绿色装备
40	3	1	10012	10	1	绿色装备
41	3	1	10013	10	1	蓝色装备
42	3	1	10014	10	1	蓝色装备
43	3	1	10015	10	1	蓝色装备
44	3	1	10016	10	1	蓝色装备
45	3	1	10017	10	1	蓝色装备
46	3	1	10018	10	1	蓝色装备
47	3	2	1003	20	1	山石姬碎片
48	3	2	3	1	1	山石姬
49	3	2	2001	20	1	初级经验丹
50	3	2	3000	20	1	强化石
51	3	2	1004	20	1	绿崽碎片
52	3	2	4	1	1	绿崽
53	3	2	1005	20	1	艾利查卡多碎片
54	3	2	5	1	1	艾利查卡多
55	4	1	10001	10	1	白色装备
56	4	1	10002	10	1	白色装备
57	4	1	10003	10	1	白色装备
58	4	1	10004	10	1	白色装备
59	4	1	10005	10	1	白色装备
60	4	1	10006	10	1	白色装备
61	4	1	10007	10	1	绿色装备
62	4	1	10008	10	1	绿色装备
63	4	1	10009	10	1	绿色装备
64	4	1	10010	10	1	绿色装备
65	4	1	10011	10	1	绿色装备
66	4	1	10012	10	1	绿色装备
67	4	1	10013	10	1	蓝色装备
68	4	1	10014	10	1	蓝色装备
69	4	1	10015	10	1	蓝色装备
70	4	1	10016	10	1	蓝色装备
71	4	1	10017	10	1	蓝色装备
72	4	1	10018	10	1	蓝色装备
73	4	1	10019	5	1	紫色装备
74	4	1	10020	5	1	紫色装备
75	4	1	10021	5	1	紫色装备
76	4	1	10022	5	1	紫色装备
77	4	1	10023	5	1	紫色装备
78	4	1	10024	5	1	紫色装备
79	4	1	11019	30	1	紫色装备碎片
80	4	1	11020	30	1	紫色装备碎片
81	4	1	11021	30	1	紫色装备碎片
82	4	1	11022	30	1	紫色装备碎片
83	4	1	11023	30	1	紫色装备碎片
84	4	1	11024	30	1	紫色装备碎片
85	4	2	1003	20	1	山石姬碎片
86	4	2	3	1	1	山石姬
87	4	2	2001	20	1	初级经验丹
88	4	2	2002	20	1	中级经验丹
89	4	2	3000	20	1	强化石
90	4	2	1004	20	1	绿崽碎片
91	4	2	4	1	1	绿崽
92	4	2	1005	20	1	艾利查卡多碎片
93	4	2	5	1	1	艾利查卡多
94	4	2	1006	20	1	技术草碎片
95	4	2	6	1	1	技术草
96	4	2	4001	0	1	白羊辉耀
97	4	2	4002	0	1	白羊凝聚
98	4	2	4003	0	1	白羊光芒
99	4	2	4004	0	1	白羊不死
100	4	2	4005	0	1	白羊旋舞
101	4	2	4006	0	1	白羊之心
102	4	2	4007	0	1	白羊之魂
103	4	2	4208	0	1	金牛辉耀碎片
104	4	2	4209	0	1	金牛凝聚碎片
105	4	2	4210	0	1	金牛光芒碎片
106	4	2	4211	0	1	金牛不死碎片
107	4	2	4212	0	1	金牛旋舞碎片
108	4	2	4213	0	1	金牛之心碎片
109	4	2	4214	0	1	金牛之魂碎片
110	5	1	10001	10	1	白色装备
111	5	1	10002	10	1	白色装备
112	5	1	10003	10	1	白色装备
113	5	1	10004	10	1	白色装备
114	5	1	10005	10	1	白色装备
115	5	1	10006	10	1	白色装备
116	5	1	10007	10	1	绿色装备
117	5	1	10008	10	1	绿色装备
118	5	1	10009	10	1	绿色装备
119	5	1	10010	10	1	绿色装备
120	5	1	10011	10	1	绿色装备
121	5	1	10012	10	1	绿色装备
122	5	1	10013	10	1	蓝色装备
123	5	1	10014	10	1	蓝色装备
124	5	1	10015	10	1	蓝色装备
125	5	1	10016	10	1	蓝色装备
126	5	1	10017	10	1	蓝色装备
127	5	1	10018	10	1	蓝色装备
128	5	1	10019	10	1	紫色装备
129	5	1	10020	10	1	紫色装备
130	5	1	10021	10	1	紫色装备
131	5	1	10022	10	1	紫色装备
132	5	1	10023	10	1	紫色装备
133	5	1	10024	10	1	紫色装备
134	5	1	11025	20	1	橙色装备碎片
135	5	1	11026	20	1	橙色装备碎片
136	5	1	11027	20	1	橙色装备碎片
137	5	1	11028	20	1	橙色装备碎片
138	5	1	11029	20	1	橙色装备碎片
139	5	1	11030	20	1	橙色装备碎片
140	5	2	1003	20	1	山石姬碎片
141	5	2	3	1	1	山石姬
142	5	2	2002	20	1	中级经验丹
143	5	2	3000	20	1	强化石
144	5	2	1004	20	1	绿崽碎片
145	5	2	4	1	1	绿崽
146	5	2	1005	20	1	艾利查卡多碎片
147	5	2	5	1	1	艾利查卡多
148	5	2	1006	20	1	技术草碎片
149	5	2	6	1	1	技术草
150	5	2	4001	0	1	白羊辉耀
151	5	2	4002	0	1	白羊凝聚
152	5	2	4003	0	1	白羊光芒
153	5	2	4004	0	1	白羊不死
154	5	2	4005	0	1	白羊旋舞
155	5	2	4006	0	1	白羊之心
156	5	2	4007	0	1	白羊之魂
157	5	2	4208	0	1	金牛辉耀碎片
158	5	2	4209	0	1	金牛凝聚碎片
159	5	2	4210	0	1	金牛光芒碎片
160	5	2	4211	0	1	金牛不死碎片
161	5	2	4212	0	1	金牛旋舞碎片
162	5	2	4213	0	1	金牛之心碎片
163	5	2	4214	0	1	金牛之魂碎片
164	5	2	4215	0	1	双子辉耀碎片
165	5	2	4216	0	1	双子凝聚碎片
166	5	2	4217	0	1	双子光芒碎片
167	5	2	4218	0	1	双子不死碎片
168	5	2	4219	0	1	双子旋舞碎片
169	5	2	4220	0	1	双子之心碎片
170	5	2	4221	0	1	双子之魂碎片
171	5	2	4222	0	1	巨蟹辉耀碎片
172	5	2	4223	0	1	巨蟹凝聚碎片
173	5	2	4224	0	1	巨蟹光芒碎片
174	5	2	4225	0	1	巨蟹不死碎片
175	5	2	4226	0	1	巨蟹旋舞碎片
176	5	2	4227	0	1	巨蟹之心碎片
177	5	2	4228	0	1	巨蟹之魂碎片
178	5	2	4229	0	1	狮子辉耀碎片
179	5	2	4230	0	1	狮子凝聚碎片
180	5	2	4231	0	1	狮子光芒碎片
181	5	2	4232	0	1	狮子不死碎片
182	5	2	4233	0	1	狮子旋舞碎片
183	5	2	4234	0	1	狮子之心碎片
184	5	2	4235	0	1	狮子之魂碎片
185	6	1	10001	10	1	白色装备
186	6	1	10002	10	1	白色装备
187	6	1	10003	10	1	白色装备
188	6	1	10004	10	1	白色装备
189	6	1	10005	10	1	白色装备
190	6	1	10006	10	1	白色装备
191	6	1	10007	10	1	绿色装备
192	6	1	10008	10	1	绿色装备
193	6	1	10009	10	1	绿色装备
194	6	1	10010	10	1	绿色装备
195	6	1	10011	10	1	绿色装备
196	6	1	10012	10	1	绿色装备
197	6	1	10013	10	1	蓝色装备
198	6	1	10014	10	1	蓝色装备
199	6	1	10015	10	1	蓝色装备
200	6	1	10016	10	1	蓝色装备
201	6	1	10017	10	1	蓝色装备
202	6	1	10018	10	1	蓝色装备
203	6	1	10019	10	1	紫色装备
204	6	1	10020	10	1	紫色装备
205	6	1	10021	10	1	紫色装备
206	6	1	10022	10	1	紫色装备
207	6	1	10023	10	1	紫色装备
208	6	1	10024	10	1	紫色装备
209	6	1	11025	20	1	橙色装备碎片
210	6	1	11026	20	1	橙色装备碎片
211	6	1	11027	20	1	橙色装备碎片
212	6	1	11028	20	1	橙色装备碎片
213	6	1	11029	20	1	橙色装备碎片
214	6	1	11030	20	1	橙色装备碎片
215	6	1	11031	20	1	火焰套装碎片
216	6	1	11032	20	1	火焰套装碎片
217	6	1	11033	20	1	火焰套装碎片
218	6	1	11034	20	1	火焰套装碎片
219	6	1	11035	20	1	火焰套装碎片
220	6	1	11036	20	1	火焰套装碎片
221	6	2	1003	20	1	山石姬碎片
222	6	2	3	1	1	山石姬
223	6	2	2003	20	1	高级经验丹
224	6	2	3000	20	1	强化石
225	6	2	1004	20	1	绿崽碎片
226	6	2	4	1	1	绿崽
227	6	2	1005	20	1	艾利查卡多碎片
228	6	2	5	1	1	艾利查卡多
229	6	2	1006	20	1	技术草碎片
230	6	2	6	1	1	技术草
231	6	2	4001	0	1	白羊辉耀
232	6	2	4002	0	1	白羊凝聚
233	6	2	4003	0	1	白羊光芒
234	6	2	4004	0	1	白羊不死
235	6	2	4005	0	1	白羊旋舞
236	6	2	4006	0	1	白羊之心
237	6	2	4007	0	1	白羊之魂
238	6	2	4208	0	1	金牛辉耀碎片
239	6	2	4209	0	1	金牛凝聚碎片
240	6	2	4210	0	1	金牛光芒碎片
241	6	2	4211	0	1	金牛不死碎片
242	6	2	4212	0	1	金牛旋舞碎片
243	6	2	4213	0	1	金牛之心碎片
244	6	2	4214	0	1	金牛之魂碎片
245	6	2	4215	0	1	双子辉耀碎片
246	6	2	4216	0	1	双子凝聚碎片
247	6	2	4217	0	1	双子光芒碎片
248	6	2	4218	0	1	双子不死碎片
249	6	2	4219	0	1	双子旋舞碎片
250	6	2	4220	0	1	双子之心碎片
251	6	2	4221	0	1	双子之魂碎片
252	6	2	4222	0	1	巨蟹辉耀碎片
253	6	2	4223	0	1	巨蟹凝聚碎片
254	6	2	4224	0	1	巨蟹光芒碎片
255	6	2	4225	0	1	巨蟹不死碎片
256	6	2	4226	0	1	巨蟹旋舞碎片
257	6	2	4227	0	1	巨蟹之心碎片
258	6	2	4228	0	1	巨蟹之魂碎片
259	6	2	4229	0	1	狮子辉耀碎片
260	6	2	4230	0	1	狮子凝聚碎片
261	6	2	4231	0	1	狮子光芒碎片
262	6	2	4232	0	1	狮子不死碎片
263	6	2	4233	0	1	狮子旋舞碎片
264	6	2	4234	0	1	狮子之心碎片
265	6	2	4235	0	1	狮子之魂碎片
266	6	2	4236	0	1	处女辉耀碎片
267	6	2	4237	0	1	处女凝聚碎片
268	6	2	4238	0	1	处女光芒碎片
269	6	2	4239	0	1	处女不死碎片
270	6	2	4240	0	1	处女旋舞碎片
271	6	2	4241	0	1	处女之心碎片
272	6	2	4242	0	1	处女之魂碎片
273	6	2	4243	0	1	天秤辉耀碎片
274	6	2	4244	0	1	天秤凝聚碎片
275	6	2	4245	0	1	天秤光芒碎片
276	6	2	4246	0	1	天秤不死碎片
277	6	2	4247	0	1	天秤旋舞碎片
278	6	2	4248	0	1	天秤之心碎片
279	6	2	4249	0	1	天秤之魂碎片
280	7	1	10001	10	1	白色装备
281	7	1	10002	10	1	白色装备
282	7	1	10003	10	1	白色装备
283	7	1	10004	10	1	白色装备
284	7	1	10005	10	1	白色装备
285	7	1	10006	10	1	白色装备
286	7	1	10007	10	1	绿色装备
287	7	1	10008	10	1	绿色装备
288	7	1	10009	10	1	绿色装备
289	7	1	10010	10	1	绿色装备
