#星座																										
#绝对ID=孔位 + 星座*100 + 角色编号*10000	人物ID	人物名称	星座编号	星座名称	孔位(为空则表示该星座全部增加的属性，方便计算)	力量增长	体质增长	敏捷增长	智力增长	专注增长	生命增长	生命回复增长	魔法增长	物攻增长	物防增长	魔攻增长	魔防增长	命中增长	闪避增长	暴击增长	暴击抵抗增长	暴击伤害增长	物理穿透增长	魔法穿透增长	魔法恢复量	增长属性中文叙述
int	int	string	int	int	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string
id	RoleId	Name	ConstellationNum	ConstellationName	Hole	FceUp	ConUp	AgiUp	IntUp	FocUp	HPUp	HPRecUp	MPUp	STRUp	DEFUp	ATSUp	ADFUp	DEXUp	AGLUp	CRLUp	CRTUp	CRSUp	DIGUp	AIGUp	MPRecUp	Explain
30101	3	黑岩	1		1	4		2		2																力量+4 敏捷+2 专注+2
30102	3	黑岩	1		2		4									12.6	6.3									体质+4 魔攻+12.6 魔防+6.3
30103	3	黑岩	1		3	6		3		3																力量+6 敏捷+3 专注+3
30104	3	黑岩	1		4		4			3																体质+4 专注+3
30105	3	黑岩	1		5	8	6	4																		力量+8 体质+6 敏捷+4
30106	3	黑岩	1		6	10													10.8		18.24					力量+10 闪避+10.8 暴抗+18.24
30100	3	黑岩	1			28	14	9		8						12.6	6.3		10.8		18.24					
30201	3	黑岩	2		1		7		6														3			体质+7 智力+6 物穿+3
30202	3	黑岩	2		2	11		9		4																力量+11 敏捷+9 专注+4
30203	3	黑岩	2		3					6									18		30.4					专注+6 闪避+18 暴抗+30.4
30204	3	黑岩	2		4	14	8			7																力量+14 体质+8 专注+7
30205	3	黑岩	2		5	16		12	7																	力量+16 敏捷+12 智力+7
30206	3	黑岩	2		6	20				8	216	21.6														力量+20 专注+8 生命+216 生命回复+21.6
30200	3	黑岩	2			61	15	21	13	25	216	21.6							18		30.4		3			
30301	3	黑岩	3		1			12								14.4	7.2									敏捷+12 魔攻+14.4 魔防+7.2
30302	3	黑岩	3		2	25	15																			力量+25 体质+15
30303	3	黑岩	3		3			13		11																敏捷+13 专注+11
30304	3	黑岩	3		4		18		10	16																体质+18 智力+10 专注+16
30305	3	黑岩	3		5	28		14																		力量+28 敏捷+14
30306	3	黑岩	3		6			16		19				66.6	33.3											敏捷+16 专注+19 物攻+66.6 物防+33.3
30300	3	黑岩	3			53	33	55	10	46				66.6	33.3	14.4	7.2									
30401	3	黑岩	4		1		18		12																	体质+18 智力+12
30402	3	黑岩	4		2	42				24																力量+42 专注+24
30403	3	黑岩	4		3			25			360	36														敏捷+25 生命+360 生命回复+36
30404	3	黑岩	4		4	43			14																	力量+43 智力+14
30405	3	黑岩	4		5		25	26																		体质+25 敏捷+26
30406	3	黑岩	4		6	45				26													6			力量+45 专注+26 物穿+6
30400	3	黑岩	4			130	43	51	26	50	360	36											6			
30501	3	黑岩	5		1		33		16																	体质+33 智力+16
30502	3	黑岩	5		2	49		26																		力量+49 敏捷+26
30503	3	黑岩	5		3			26		20																敏捷+26 专注+20
30504	3	黑岩	5		4		35									32.4	16.2									体质+35 魔攻+32.4 魔防+16.2
30505	3	黑岩	5		5	51				20									50.4		85.12					力量+51 专注+20 闪避+50.4 暴抗+85.12
30506	3	黑岩	5		6	53				22																力量+53 专注+22
30500	3	黑岩	5			153	68	52	16	62						32.4	16.2		50.4		85.12					
30601	3	黑岩	6		1			30		23													9			敏捷+30 专注+23 物穿+9
