#物品表配置信息															
#装备id（碎片的ID+1000；）	装备图标	装备名字	装备品质（1蓝、2绿、3蓝、4紫、5橙、6橙1 、7橙2、 8橙3）	装备部位（1、武器；2、衣服；3、手套；4、鞋子；5、项链；6、戒指）	装备类型（1、整装；2、碎片）	合成所需的碎片ID	合成整装所需碎片数量	出售价格（金币）	属性	隐藏属性1	隐藏属性2	隐藏属性3	隐藏属性3	隐藏属性3	最大叠加数
int	string	string	int	int	int	int	int	float	int	int	int	int	int	int	int
Id	Icon	Name	Quality	EquipPosition	EquipType	FragmentID	FragmentNumber	SellPrice	AttrID	HideAttr1	HideAttr2	HideAttr3	HideAttr4	HideAttr5	OverLap
10001	wuqi1-icon	开荒剑	1	1	1			10	1	10001	20001	30001	40001	50001	1
10002	yifu1-icon	后街T恤	1	2	1			10	2	10002	20002	30002	40002	50002	1
10003	shoutao1-icon	牛仔手套	1	3	1			10	3	10003	20003	30003	40003	50003	1
10004	xiezi1-icon	学者板鞋	1	4	1			10	4	10004	20004	30004	40004	50004	1
10005	xianglian1-icon	防御项链	1	5	1			10	5	10005	20005	30005	40005	50005	1
10006	kuzi1-icon	力量长裤	1	6	1			10	6	10006	20006	30006	40006	50006	1
10007	wuqi1-icon	长剑	2	1	1			10	7	10007	20007	30007	40007	50007	1
10008	yifu1-icon	巨木T恤	2	2	1			10	8	10008	20008	30008	40008	50008	1
10009	shoutao1-icon	战阵手套	2	3	1			10	9	10009	20009	30009	40009	50009	1
10010	xiezi1-icon	言武板鞋	2	4	1			10	10	10010	20010	30010	40010	50010	1
10011	xianglian1-icon	流云项链	2	5	1			10	11	10011	20011	30011	40011	50011	1
10012	kuzi1-icon	行者长裤	2	6	1			10	12	10012	20012	30012	40012	50012	1
10013	wuqi1-icon	石中剑	3	1	1			10	13	10013	20013	30013	40013	50013	1
10014	yifu1-icon	勇者T恤	3	2	1			10	14	10014	20014	30014	40014	50014	1
10015	shoutao1-icon	助攻手套	3	3	1			10	15	10015	20015	30015	40015	50015	1
10016	xiezi1-icon	勇者板鞋	3	4	1			10	16	10016	20016	30016	40016	50016	1
10017	xianglian1-icon	篝火项链	3	5	1			10	17	10017	20017	30017	40017	50017	1
10018	kuzi1-icon	木藤长裤	3	6	1			10	18	10018	20018	30018	40018	50018	1
10019	wuqi1-icon	穿云长剑	4	1	1			10	19	10019	20019	30019	40019	50019	1
10020	yifu1-icon	赤炉火T恤	4	2	1			10	20	10020	20020	30020	40020	50020	1
10021	shoutao1-icon	疾速手套	4	3	1			10	21	10021	20021	30021	40021	50021	1
10022	xiezi1-icon	独步板鞋	4	4	1			10	22	10022	20022	30022	40022	50022	1
10023	xianglian1-icon	王冠项链	4	5	1			10	23	10023	20023	30023	40023	50023	1
10024	kuzi1-icon	磁力长裤	4	6	1			10	24	10024	20024	30024	40024	50024	1
10025	wuqi2-icon	暗·临风斩	5	1	1			10	25	10025	20025	30025	40025	50025	1
10026	yifu2-icon	暗·沧澜外套	5	2	1			10	26	10026	20026	30026	40026	50026	1
10027	shoutao2-icon	暗·冰封手套	5	3	1			10	27	10027	20027	30027	40027	50027	1
10028	xiezi2-icon	暗·奥斯皮靴	5	4	1			10	28	10028	20028	30028	40028	50028	1
10029	xianglian2-icon	暗·凌月链	5	5	1			10	29	10029	20029	30029	40029	50029	1
10030	kuzi2-icon	暗·流火长裤	5	6	1			10	30	10030	20030	30030	40030	50030	1
10031	wuqi3-icon	掣·羽刃	6	1	1			10	31	10031	20031	30031	40031	50031	1
10032	yifu3-icon	掣·幻燚外套	6	2	1			10	32	10032	20032	30032	40032	50032	1
10033	shoutao3-icon	掣·移木手套	6	3	1			10	33	10033	20033	30033	40033	50033	1
10034	xiezi3-icon	掣·幻灵履	6	4	1			10	34	10034	20034	30034	40034	50034	1
10035	xianglian3-icon	掣·雷火链	6	5	1			10	35	10035	20035	30035	40035	50035	1
10036	kuzi3-icon	掣·密林长裤	6	6	1			10	36	10036	20036	30036	40036	50036	1
10037	wuqi4-icon	炽·灼炎斩	7	1	1			10	37	10037	20037	30037	40037	50037	1
10038	yifu4-icon	炽·银月风衣	7	2	1			10	38	10038	20038	30038	40038	50038	1
10039	shoutao4-icon	炽·毓火手套	7	3	1			10	39	10039	20039	30039	40039	50039	1
10040	xiezi4-icon	炽·归云靴	7	4	1			10	40	10040	20040	30040	40040	50040	1
10041	xianglian4-icon	炽·魔炎祭	7	5	1			10	41	10041	20041	30041	40041	50041	1
10042	kuzi4-icon	炽·白焰长裤	7	6	1			10	42	10042	20042	30042	40042	50042	1
10043	wuqi5-icon	禁·流光斩	8	1	1			10	43	10043	20043	30043	40043	50043	1
10044	yifu5-icon	禁·荆棘盔甲	8	2	1			10	44	10044	20044	30044	40044	50044	1
10045	shoutao5-icon	禁·奔雷手套	8	3	1			10	45	10045	20045	30045	40045	50045	1
10046	xiezi5-icon	禁·归云之影	8	4	1			10	46	10046	20046	30046	40046	50046	1
10047	xianglian5-icon	禁·天火魂	8	5	1			10	47	10047	20047	30047	40047	50047	1
10048	kuzi5-icon	禁·苍月长裤	8	6	1			10	48	10048	20048	30048	40048	50048	1
11001	wuqi1-icon	开荒剑拼图	1	1	2	10001	2	10							999
11002	yifu1-icon	后街T恤拼图	1	2	2	10002	2	10							999
11003	shoutao1-icon	牛仔手套拼图	1	3	2	10003	2	10							999
11004	xiezi1-icon	学者板鞋拼图	1	4	2	10004	2	10							999
11005	xianglian1-icon	防御项链拼图	1	5	2	10005	2	10							999
11006	kuzi1-icon	力量长裤拼图	1	6	2	10006	2	10							999
11007	wuqi1-icon	长剑拼图	2	1	2	10007	5	10							999
11008	yifu1-icon	巨木T恤拼图	2	2	2	10008	5	10							999
11009	shoutao1-icon	战阵手套拼图	2	3	2	10009	5	10							999
11010	xiezi1-icon	言武板鞋拼图	2	4	2	10010	5	10							999
11011	xianglian1-icon	流云项链拼图	2	5	2	10011	5	10							999
11012	kuzi1-icon	行者长裤拼图	2	6	2	10012	5	10							999
11013	wuqi1-icon	石中剑拼图	3	1	2	10013	10	10							999
11014	yifu1-icon	勇者T恤拼图	3	2	2	10014	10	10							999
11015	shoutao1-icon	助攻手套拼图	3	3	2	10015	10	10							999
11016	xiezi1-icon	勇者板鞋拼图	3	4	2	10016	10	10							999
11017	xianglian1-icon	篝火项链拼图	3	5	2	10017	10	10							999
11018	kuzi1-icon	木藤长裤拼图	3	6	2	10018	10	10							999
11019	wuqi1-icon	穿云长剑拼图	4	1	2	10019	30	10							999
11020	yifu1-icon	赤炉火T恤拼图	4	2	2	10020	30	10							999
11021	shoutao1-icon	疾速手套拼图	4	3	2	10021	30	10							999
11022	xiezi1-icon	独步板鞋拼图	4	4	2	10022	30	10							999
11023	xianglian1-icon	王冠项链拼图	4	5	2	10023	30	10							999
11024	kuzi1-icon	磁力拼图	4	6	2	10024	30	10							999
11025	wuqi2-icon	暗·临风斩拼图	5	1	2	10025	50	10							999
11026	yifu2-icon	暗·沧澜外套拼图	5	2	2	10026	50	10							999
11027	shoutao2-icon	暗·冰封手套拼图	5	3	2	10027	50	10							999
11028	xiezi2-icon	暗·奥斯皮靴拼图	5	4	2	10028	50	10							999
11029	xianglian2-icon	暗·凌月链拼图	5	5	2	10029	50	10							999
11030	kuzi2-icon	暗·流火长裤拼图	5	6	2	10030	50	10							999
11031	wuqi3-icon	掣·羽刃拼图	6	1	2	10031	100	10							999
11032	yifu3-icon	掣·幻燚外套拼图	6	2	2	10032	100	10							999
11033	shoutao3-icon	掣·移木手套拼图	6	3	2	10033	100	10							999
11034	xiezi3-icon	掣·幻灵履拼图	6	4	2	10034	100	10							999
11035	xianglian3-icon	掣·雷火链拼图	6	5	2	10035	100	10							999
11036	kuzi3-icon	掣·密林长裤拼图	6	6	2	10036	100	10							999
11037	wuqi4-icon	炽·灼炎斩拼图	7	1	2	10037	150	10							999
11038	yifu4-icon	炽·银月风衣拼图	7	2	2	10038	150	10							999
11039	shoutao4-icon	炽·毓火手套拼图	7	3	2	10039	150	10							999
11040	xiezi4-icon	炽·归云靴拼图	7	4	2	10040	150	10							999
11041	xianglian4-icon	炽·魔炎祭拼图	7	5	2	10041	150	10							999
11042	kuzi4-icon	炽·白焰长裤拼图	7	6	2	10042	150	10							999
11043	wuqi5-icon	禁·流光斩拼图	8	1	2	10043	200	10							999
11044	yifu5-icon	禁·荆棘盔甲拼图	8	2	2	10044	200	10							999
11045	shoutao5-icon	禁·奔雷手套拼图	8	3	2	10045	200	10							999
11046	xiezi5-icon	禁·归云之影拼图	8	4	2	10046	200	10							999
11047	xianglian5-icon	禁·天火魂拼图	8	5	2	10047	200	10							999
11048	kuzi5-icon	禁·苍月长裤拼图	8	6	2	10048	200	10							999
