#装备主属性																				
#属性id	力量	体质	敏捷	智力	专注	生命	生命回复	魔法	魔法恢复	物攻	物防	魔攻	魔防	命中	暴击	闪避	暴击抵抗	暴击伤害	物理穿透	魔法穿透
int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float
Id	FceUp	ConUp	AgiUp	IntUp	FocUp	HPUp	HPRecUp	MPUp	MPRecUp	STRUp	DEFUp	ATSUp	ADFUp	DEXUp	CRLUp	AGLUp	CRTUp	CRSUp	DIGUp	AIGUp
1						0				453.6		453.6								
2						4435.2					226.8		226.8							
3						1663.2								907.2						
4						1663.2									453.6					
5						1663.2											766.08			
6						1663.2										766.08				
7						0				680.4		680.4								
8						6652.8					340.2		340.2							
9						2494.8								1360.8						
10						2494.8									680.4					
11						2494.8											1149.12			
12						2494.8										1149.12				
13						0				907.2		907.2								
14						8870.4					453.6		453.6							
15						3326.4								1814.4						
16						3326.4									907.2					
17						3326.4											1532.16			
18						3326.4										1532.16				
19						0				1134		1134								
20						11088					567		567							
21						4158								2268						
22						4158									1134					
23						4158											1915.2			
24						4158										1915.2				
25						0				1587.6		1587.6								
26						15523.2					793.8		793.8							
27						5821.2								3175.2						
28						5821.2									1587.6					
29						5821.2											2681.28			
30						5821.2										2681.28				
31						0				1814.4		1814.4								
32						17740.8					907.2		907.2							
33						6652.8								3628.8						
34						6652.8									1814.4					
35						6652.8											3064.32			
36						6652.8										3064.32				
37						0				2041.2		2041.2								
38						19958.4					1020.6		1020.6							
39						7484.4								4082.4						
40						7484.4									2041.2					
41						7484.4											3447.36			
42						7484.4										3447.36				
43						0				2268		2268								
44						22176					1134		1134							
45						8316								4536						
46						8316									2268					
47						8316											3830.4			
48						8316										3830.4				
10019															50					
10020						1575														
10021													21							
10022						750														
10023																	107			
10024						375														
10025										50										
10026											85									
10027													40							
10028																50				
10029																	144			
10030							40													
10031															70					
10032													50							
10033							50													
10034																	160			
10035												100								
10036																	75			
10037														100						
10038													55							
10039											55									
10040																	107			
10041															80					
10042											55									
10043															50					
10044											63									
10045																	200			
10046													70							
10047															138					
10048													30							
20019										53										
20020							60													
20021												20								
20022											16									
20023														116						
20024																	213			
20025										85										
20026																	144			
20027														100						
20028											20									
20029												50								
20030											22									
20031										80										
20032						2500														
20033														150						
20034																100				
20035																				
20036																				
20037										100										
20038						2500														
20039														222						
20040																100				
20041												100								
20042						2500														
20043										136										
20044						2500														
20045														152						
20046																100				
20047							152													
20048						3150														
30019															57					
30020											79									
30021										30										
30022																100				
30023							190													
30024						375														
30025															30					
30026													45							
30027															140					
30028																85				
30029							170													
30030													42							
30031															100					
30032											150									
30033															100					
30034														50						
30035						750							100							
30036						2500											100			
30037															87					
30038																	185			
30039							50													
30040											56									
30041							172													
30042																	80			
30043															50					
30044							252													
30045												26								
30046													90							
30047						1000														
30048																52				
40019										106										
40020						3250														
40021															106					
40022						1500														
40023												169								
40024							128													
40025										120										
40026						7625														
40027														250						
40028																120				
40029												205								
40030							200													
40031										220										
40032						5750														
40033														280						
40034																200				
40035												200								
40036							250													
40037										233										
40038						8600														
40039														344						
40040																233				
40041												233								
40042							222													
40043										242										
40044						9000														
40045														504						
40046																226				
40047												352								
40048							352													
50019														42						
50020													74							
50021														220						
50022																80				
50023															107					
50024						1625														
50025															90					
50026							100													
50027															172					
50028																	144			
50029														160						
50030						5125														
50031														120						
50032							150													
50033															235					
50034																	170			
50035							150													
50036						3500														
50037															100					
50038							222													
50039															294					
50040																	190			
50041													112							
50042						3050														
50043														100						
50044											126									
50045															400					
50046																	238			
50047																	200			
50048						3250														
