#等级经验表	
#ID	需要的经验
int	int
level	exp
1	10
2	15
3	20
4	25
5	30
6	50
7	70
8	100
9	200
10	300
11	500
12	1000
13	1500
14	2000
15	2500
16	3000
17	3500
18	4000
19	4500
20	5000
21	5500
22	6000
23	6500
24	7000
25	7500
26	8000
27	8500
28	9000
29	9500
30	10000
31	10500
32	11000
33	11500
34	12000
35	12500
36	13000
37	13500
38	14000
39	14500
40	15000
41	15500
42	16000
43	16500
44	17000
45	17500
46	18000
47	18500
48	19000
49	19500
50	20000
51	20500
52	21000
53	21500
54	22000
55	22500
56	23000
57	23500
58	24000
59	24500
60	25000
61	25500
62	26000
63	26500
64	27000
65	27500
66	28000
67	28500
68	29000
69	29500
70	30000
71	30500
72	31000
73	31500
74	32000
75	32500
76	33000
77	33500
78	34000
79	34500
80	35000
81	35500
82	36000
83	36500
84	37000
85	37500
86	38000
87	38500
88	39000
89	39500
90	40000
