#作用力信息				
#ID	X作用力	Y作用力	Z作用力	备注
int	int	int	int	string
id	xForce	yForce	zForce	Remarks
1	6000	0	0	黑岩普攻第一招造成敌方的位移
2	6000	0	0	黑岩普攻第二招造成敌方的位移（包含自身的位移）
3	6000	0	0	黑岩普攻第三招造成自身的位移
4	6000	0	10000	黑岩普攻第三招造成敌方的位移
5	25000	0	0	黑岩第2个技能对敌方的击退效果
6	-6000	0	0	黑岩第3个技能的第1阶段对敌方的击退效果
7	-6000	0	0	黑岩第3个技能的第2阶段对敌方的击退效果
8	-7000	0	0	黑岩第3个技能的第3阶段对敌方的击退效果
9	0	0	8000	黑岩跳跃射击的后坐力
10	-3000	0	0	黑岩第2个技能的后坐力
11	7000		6000	黑岩投掷力量
20	6000	0	0	绿巨人普攻第一招造成敌方的位移
21	6000	0	0	绿巨人普攻第二招造成敌方（包含自身的位移）
22	6000	0	0	绿巨人普攻第三招造成自身的位移
23	3000	0	5000	绿巨人普攻第三招造成敌方的位移
24	5000	0	30000	绿巨人技能2起跳动力
25	0	0	-100000	绿巨人技能2下落动力
26	0	0	5000	绿巨人技能2将敌方击倒
27	1000		-2000	绿巨人跳攻动力
28	30000	0	0	绿巨人技能1冲锋动力
29	0	0	0	绿巨人技能1冲锋动力
30	0	0	0	绿巨人技能1冲锋动力
31	4000	0	2000	string
32	4000	0	2000	绿巨人技能1击倒敌方
33	4000	0	2000	绿巨人技能1击倒敌方
34	4000	0	2000	绿巨人技能1击倒敌方
35	4000	0	2000	绿巨人技能1击倒敌方
36	4000	0	2000	d
37	6000	0	2000	
38	6000	0	2000	
39	6000	0	2000	
40	6000	0	2000	
41	6000	0	2000	
42	2000	0	6000	绿巨人技能1击倒敌方
43	6000	0	2000	
44	3000	0	5000	绿巨人技能1-1起跳动力
45	8000	0	10000	绿巨人投掷力量
46	0	0	12000	绿巨人跳攻动力2
50	20000	0	0	死神萝莉技能1突进
51	0	0	18000	死神萝莉技能1跳跃
52	0	0	-300000	死神萝莉技能1下落
53	5000	0	10000	死神萝莉普攻击飞
54	0	0	1000	死神萝莉技能2/3击倒
55	8000		6000	死神萝莉投掷力量
56	5000	0	0	死神普攻1位移
57	4000	0	2000	string
58	2000	0	2000	草薙京普攻第三招造成敌方的位移
59	6000	0	10000	草薙京技能1造成敌方位移
60	6000	0	10000	草薙京技能2造成敌方位移
61	0	0	7000	草薙京技能1击倒敌方位移
62	0		5000	草薙京技能3造成敌方位移
63	15000	0	0	草薙京技能1自身位移
64	8000	0	8000	草薙京投掷力量
65		0		佐助技能2击飞控制力量
66	20000	0	0	佐助技能3冲刺力量
67	6000	0	10000	佐助技能3击飞力量
68	2000	0	2000	佐助普攻3击飞力量
69	0	0	0	佐助技能3带人力量
70	8000	0	8000	佐助投掷力量
71	2000	0	2000	路飞普攻3击飞
72	8000	0	10000	路飞技能3击飞
73	0	0	8000	路飞技能4击飞
74	2500	0	12000	路飞技能4起跳力量
75	0	0	-200000	路飞技能4落地力量
76	5000	0	0	路飞普攻位移
77	880	0	0	路飞技能1位移
78	11000	0	0	路飞技能2位移
79	0	0	10000	路飞技能2起跳
80	8000	0	8000	路飞投掷力量
81	-2500	0	10000	路飞技能2-1回弹力
82	3000	0	0	路飞技能1-1位移
90	4000		6000	棉花糖普攻3击飞
91	22000	0	0	棉花糖技能1前进
92	-28000	0	0	棉花糖技能2滚回
93	0	0	0	棉花糖技能3击倒
94	10000	0	8000	棉花糖投掷力量
100	2000	0	6000	阿木木普攻3击倒
101	10000	0	0	阿木木普攻3自身位移
102	20000	0	0	阿木木技能1自身位移
103	-15000	0	2000	阿木木技能3拉人力
104	0	0	18000	阿木木技能3爆炸力
105	6000	0	8000	阿木木投掷力量
106				
107				
