#物品表配置信息															
#物品id	物品图标	物品名字	物品类型名称（1.英雄整卡（ID和roledetail表对应）；2、英雄碎片）	物品介绍	限制等级（0表示不限制等级）	物品品质（1白、2绿、3蓝、4紫、5橙、6橙1、 7橙2、 8橙3）	物品类型（1.英雄整卡；2、英雄碎片；3、英雄经验丹；4、强化石;5、星座激活材料；6、碎片；7、金币；8、装备；9、体力丹；10、宝箱；11、钻石）	物品效果（对应物品类型起作用:1、整卡使用后转化成对应英雄碎片数量；3、经验值；4、强化经验值；5、星座相对位置ID；7、使用后获得对应的金币数量；8装备；9、使用后获得对应数量的体力；10、对应宝箱子表的宝箱ID；11、对应的钻石数量	合成后的物品ID	合成所需的碎片数量	合成所需费用	出售价格（金币）	最大叠加数	是否可使用（1、可使用；0、不可使用）	是否获得自动使用（0表示不自动使用；1表示自动使用）
int	string	string	string	string	int	int	int	int	int	int	int	float	int	int	int
Id	Icon	Name	ClassName	Describe	Level	Quality	ItemType	ItemEffect	MergeItemID	MergeItemNumber	MergeCost	SellPrice	OverLap	IfUse	IfGetUse
3	touxiang-heiyan	山石姬	英雄整卡	使用获得山石姬	0	5	1	5				500	1	0	1
4	touxiang-lvjuren	绿崽	英雄整卡	使用获得绿崽	0	5	1	5				500	1	0	1
5	touxiang-sishen	艾利查卡多	英雄整卡	使用获得艾利查卡多	0	5	1	5				500	1	0	1
6	touxiang-caotijing	技术草	英雄整卡	使用获得技术草	0	5	1	5				500	1	0	1
7	touxiang-zuozhu	佐小弟	英雄整卡	使用获得佐二少	0	5	1	15				500	1	0	1
8	touxiang-lufei	吃货一郎	英雄整卡	使用获得吃货一郎	0	5	1	50				500	1	0	1
9	touxiang-amumu	僵sir	英雄整卡	使用获得阿木木	0	5	1	15				500	1	0	1
10	touxiang-mianhuatang	糯米团子	英雄整卡	使用获得糯米团子	0	5	1	30				500	1	0	1
11	touxiang-jinganglang	狼叔	英雄整卡	使用获得金刚狼	0	5	1	30				500	1	0	1
12	touxiang-jiqieren	晴天一柱	英雄整卡	使用获得晴天一柱	0	5	1	5				500	1	0	1
1003	touxiang-heiyan	山石姬聚魂石	英雄碎片	山石姬进化的必须材料	0	5	2					500	999	0	0
1004	touxiang-lvjuren	绿崽聚魂石	英雄碎片	绿崽进化的必须材料	0	5	2					500	999	0	0
1005	touxiang-sishen	艾利查卡多聚魂石	英雄碎片	艾利查卡多进化的必须材料	0	5	2					500	999	0	0
1006	touxiang-caotijing	技术草聚魂石	英雄碎片	技术草进化的必须材料	0	5	2					500	999	0	0
1007	touxiang-zuozhu	佐小弟聚魂石	英雄碎片	佐二少进化的必须材料	0	5	2					500	999	0	0
1008	touxiang-lufei	吃货一郎聚魂石	英雄碎片	吃货一郎进化的必须材料	0	5	2					500	999	0	0
1009	touxiang-amumu	僵sir聚魂石	英雄碎片	阿木木进化的必须材料	0	5	2					500	999	0	0
1010	touxiang-mianhuatang	糯米团子聚魂石	英雄碎片	糯米团子进化的必须材料	0	5	2					500	999	0	0
1011	touxiang-jinganglang	狼叔聚魂石	英雄碎片	金刚狼进化的必须材料	0	5	2					500	999	0	0
1012	touxiang-jiqieren	晴天一柱聚魂石	英雄碎片	晴天一柱进化的必须材料	0	5	2					500	999	0	0
2001	jingyan1	初级经验药水	经验丹	可以使英雄获得20点经验，请在升级界面使用我哦	0	2	3	20				100	999	0	0
2002	jingyan2	中级经验卡	经验丹	可以使英雄获得100点经验，请在升级界面使用我哦	0	3	3	100				400	999	0	0
2003	jingyan3	高级经验丹	经验丹	可以使英雄获得500点经验，请在升级界面使用我哦	0	4	3	500				800	999	0	0
2004	jingyan4	顶级经验丹	经验丹	可以使英雄获得2500点经验，请在升级界面使用我哦	0	5	3	2500				2000	999	0	0
2101	jinbi1	5000金币	金币	可获得5000金币	0	1	7	5000				0	999	0	1
2102	jinbi2	10000金币	金币	可获得10000金币	0	2	7	10000				0	999	0	1
2103	jinbi3	20000金币	金币	可获得20000金币	0	3	7	20000				0	999	0	1
2104	jinbi4	50000金币	金币	可获得50000金币	0	4	7	50000				0	999	0	1
2105	jinbi5	100000金币	金币	可获得100000金币	0	5	7	100000				0	999	0	1
2106	jinbi6	500000金币	金币	可获得500000金币	0	6	7	500000				0	999	0	1
2107	jinbi1	100金币	金币	可获得100金币	0	1	7	100				0	999	0	1
2108	jinbi1	1000金币	金币	可获得1000金币	0	1	7	1000				0	999	0	1
2200	tili1	小体力药水	体力丹	使用获得5点体力	0	3	9	5				0	999	1	0
2201	tili2	中体力药水	体力丹	使用获得20点体力	0	4	9	20				0	999	1	0
2202	tili3	大体力药水	体力丹	使用获得50点体力	0	5	9	50				0	999	1	0
2203	tili4	超级体力丹	体力丹	使用获得100点体力	0	6	9	100				0	999	1	0
2301	zuanshi1	10钻石	钻石	使用获得10钻石	0	5	11	10				0	999	0	1
2302	zuanshi2	50钻石	钻石	使用获得50钻石	0	5	11	50				0	999	0	1
2303	zuanshi3	200钻石	钻石	使用获得200钻石	0	5	11	200				0	999	0	1
2304	zuanshi4	500钻石	钻石	使用获得500钻石	0	5	11	500				0	999	0	1
3000	qianghuashi	强化石	强化石	用于强化装备，可以获得30点强化经验	0	4	4	30				10	9999	0	0
3100	shengwang	圣王宝箱	宝箱	使用大概率获得橙色装备部件，有机会获得真火焰宝箱	0	5	10	9				0	99	1	0
3102	zhenhuoyan	真火焰宝箱	宝箱	使用大概率获得火焰套装部件，有机会获得真黑龙宝箱	0	6	10	10				0	99	1	0
3103	zhenheilong	真黑龙宝箱	宝箱	使用大概率获得黑龙套装部件，有机会获得真冰雪宝箱	0	7	10	11				0	99	1	0
3104	zhenbingxue	真冰雪宝箱	宝箱	使用必定获得冰雪套装部件	0	7	10	12				0	99	1	0
4001	huiyao-baiyang	白羊辉耀	星座激活材料	使用可以激活白羊辉耀	0	3	5	101				100	999	0	0
4002	ningju-baiyang	白羊凝聚	星座激活材料	使用可以激活白羊凝聚	0	3	5	102				100	999	0	0
