#怪物信息表																	
#ID	名称	模型ID	备注1	备注2	星级	品质	等级	装备(怪物的装备，以#号分隔)	装备强化等级(每件装备对应的强化等级，以#分隔)	能力值（根据原本的英雄数值乘以一定的倍数值）	是否为怪物(0.保留 1.怪物)	ai思考时间（成功）	ai思考时间（失败）	ai思考时间衰减百分比	保持最大距离(网络点，像素距离为此值*32)	思考失败时行走方向（1、远离目标180°方向；2、360°随机方向）	连续思考的次数
int	string	int	string	string	int	int	int	string	string	float	int	float	float	float	float	int	int
id	name	modelId	remark1	remark2	start	qualityLevel	Level	Equipment	EquipStrengthen	AbilityValue	IsActor	ThinkTimeSuc	ThinkTimeFail	ThinkTimeDecay	MaxDistance	WalkingDirection	ThinkTimes
1	山石姬	3	章节1	小结1	1	1	1			0.7	1	3000	3000	500	10	1	1
2	绿崽	4	章节1	小结2	1	1	2			0.8	1	3000	3000	500	10	2	1
3	艾利查卡多	5	章节1	小结3	1	1	2			0.8	1	3000	3000	500	10	2	1
4	技术草	6	章节1	小结4	1	1	3			1	1	3000	3000	500	10	2	1
5	佐小弟	7	章节1	小结4	1	1	4			1	1	3000	3000	500	10	2	1
6	吃货一郎	8	章节1	小结5	1	1	4	10002#10004#10006		1	1	3000	3000	500	10	2	1
7	僵sir	9	章节1	小结5	1	1	5	10001#10003#10005		1	1	3000	3000	500	10	2	1
8	糯米团子	10	章节1	小结6	1	1	5	10001#10002#10004#10005		1	1	3000	3000	500	10	2	1
9	僵sir	9	章节1	小结6	1	1	6	10001#10003#10004		1	1	3000	3000	500	10	2	1
10	技术草	6	章节1	小结7	1	1	6	10001#10002#10004#10005	1#2#5#2	1	1	3000	3000	500	10	2	1
11	绿崽	4	章节1	小结7	1	1	7	10002#10003#10005#10006	2#2#1#3	1	1	3000	3000	500	10	2	1
12	艾利查卡多	5	章节2	小结1	1	1	8	10001#10002#10003#10010#10005#10006	4#8#7#7#9#5	1	1	3000	3000	500	10	2	1
13	山石姬	3	章节2	小结1	1	1	8	10007#10002#10009#10004#10011#10012	5#4#7#10#5#6	1	1	3000	3000	500	10	2	1
14	僵sir	9	章节2	小结2	1	1	9	10007#10002#10003#10004#10005#10006	6#11#4#9#8#6	1	1	3000	3000	500	10	2	1
15	糯米团子	10	章节2	小结2	1	1	9	10001#10002#10003#10004#10005#10012	6#4#7#11#5#6	1	1	3000	3000	500	10	2	1
16	僵sir	9	章节2	小结3	1	1	10	10001#10002#10003#10004#10011#10006	5#5#8#5#9#5	1	1	3000	3000	500	10	2	1
17	绿崽	4	章节2	小结3	1	1	10	10007#10008#10003#10004#10005#10006	5#7#9#4#4#10	1	1	3000	3000	500	10	2	1
18	山石姬	3	章节2	小结4	1	1	11	10007#10002#10003#10004#10011#10012	6#8#5#5#9#6	1	1	3000	3000	500	10	2	1
19	吃货一郎	8	章节2	小结4	1	1	11	10001#10008#10009#10004#10005#10012	10#8#8#14#13#5	1	1	2000	3000	500	10	2	1
20	艾利查卡多	5	章节2	小结5	1	1	12	10007#10002#10009#10010#10011#10006	7#12#5#7#8#11	1	1	2000	3000	500	10	2	1
21	糯米团子	10	章节2	小结5	1	1	12	10001#10008#10003#10010#10011#10012	9#12#9#8#12#10	1	1	2000	3000	500	10	2	1
22	艾利查卡多	5	章节2	小结6	1	1	13	10007#10002#10009#10004#10011#10006	7#13#13#12#12#10	1	1	2000	3000	500	10	2	1
23	糯米团子	10	章节2	小结6	1	1	13	10001#10002#10003#10010#10005#10012	14#11#9#13#12#12	1	1	2000	3000	500	10	2	1
24	山石姬	3	章节2	小结7	1	1	14	10001#10008#10009#10004#10011#10006	12#10#7#11#8#9	1	1	2000	3000	500	10	2	1
25	技术草	6	章节2	小结7	1	1	15	10007#10008#10003#10004#10011#10006	13#12#14#15#7#14	1	1	2000	3000	500	10	2	1
26	山石姬	3	章节3	小结1	1	2	16	10001#10002#10003#10010#10005#10012	13#14#13#13#14#7	1	1	2000	3000	500	10	2	1
27	吃货一郎	8	章节3	小结2	1	2	16	10007#10002#10009#10010#10011#10012	12#15#11#9#8#7	1	1	2000	3000	500	10	2	1
28	绿崽	4	章节3	小结3	1	2	17	10001#10002#10009#10010#10005#10012	13#14#12#8#15#9	1	1	2000	3000	500	10	2	1
29	技术草	6	章节3	小结4	1	2	17	10007#10002#10009#10004#10011#10012	12#15#13#14#9#8	1	1	2000	3000	500	10	2	1
30	吃货一郎	8	章节3	小结4	1	2	18	10007#10008#10009#10010#10011#10012	17#12#14#12#15#12	1	1	2000	3000	500	10	2	1
31	绿崽	4	章节3	小结5	1	2	18	10007#10008#10009#10010#10011#10012	11#17#15#14#15#17	1	1	2000	3000	500	10	2	1
32	僵sir	9	章节3	小结5	1	2	19	10007#10008#10009#10010#10011#10012	15#15#17#15#13#16	1	1	2000	3000	500	10	1	2
33	山石姬	3	章节3	小结6	1	2	19	10007#10008#10009#10010#10011#10012	17#15#14#13#12#14	1	1	2000	3000	500	10	1	2
34	吃货一郎	8	章节3	小结6	1	2	20	10007#10008#10009#10010#10011#10012	14#13#11#13#16#17	1	1	2000	3000	500	10	1	2
35	艾利查卡多	5	章节3	小结7	1	2	20	10007#10008#10009#10010#10011#10012	11#17#12#16#16#14	1	1	2000	3000	500	10	1	2
36	绿崽	4	章节3	小结7	1	2	21	10007#10008#10009#10010#10011#10012	13#11#13#12#15#13	1	1	2000	3000	500	10	1	2
37	糯米团子	10	章节4	小结1	2	2	22	10007#10014#10009#10010#10017#10012	16#13#13#12#12#14	1	1	2000	3000	500	10	1	2
38	佐小弟	7	章节4	小结1	2	3	22	10013#10014#10015#10016#10011#10018	12#11#9#11#17#11	1	1	2000	3000	500	10	1	2
39	僵sir	9	章节4	小结2	2	3	23	10007#10008#10009#10010#10017#10018	18#18#16#20#9#12	1	1	2000	3000	500	10	1	2
40	山石姬	3	章节4	小结2	2	3	23	10013#10014#10015#10010#10017#10012	10#13#10#18#9#19	1	1	2000	3000	500	10	1	2
41	糯米团子	10	章节4	小结3	2	3	24	10007#10014#10009#10016#10011#10018	19#12#18#8#18#13	1	1	2000	3000	500	10	1	2
42	技术草	6	章节4	小结3	2	3	24	10007#10014#10015#10010#10017#10018	19#11#8#16#9#8	1	1	1000	3000	500	10	1	2
43	吃货一郎	8	章节4	小结4	2	3	25	10013#10008#10015#10016#10011#10012	12#15#9#10#20#18	1	1	1000	3000	500	10	1	2
44	绿崽	4	章节4	小结4	2	3	25	10007#10014#10009#10016#10017#10018	16#15#15#13#12#13	1	1	1000	3000	500	10	1	2
45	技术草	6	章节4	小结5	2	3	26	10013#10008#10015#10010#10011#10012	14#19#15#15#19#20	1	1	1000	3000	500	10	1	2
46	艾利查卡多	5	章节4	小结5	2	3	26	10013#10008#10009#10016#10011#10018	16#17#17#15#15#15	1	1	1000	3000	500	10	1	2
