#地图配置信息																																										
#场景ID(chapter*100+replicaBar)	场景属性（1家园、2普通副本、3试炼副本）	副本章节	章节名称	副本小节	小节名称	场景地图资源	场景音乐	副本类型备注（0普通副本、1物理试炼、2魔法试炼、3风之试炼、4木之试炼、5火之试炼、6雷之试炼、7冰之试炼）	副本难度备注（1低级、2中级、3高级）	消耗体力	出战人数	怪物1id	怪物2id	宝箱id	经验奖励	金钱奖励	钻石奖励	钻石概率	首次通关奖励类型（1、钻石；2、道具；3、装备）	首次通关奖励数据（1、钻石数量；2、道具ID#道具数量；3、装备ID#装备数量）	最低进入等级	每日限制进入次数	开启时间	关闭时间	背景音乐	限时副本(秒)	星级条件（1通关、2通关时间、3剩余血量、4最大连击数、5陷阱、6是否减员）	星级参数1（1时间、2血量百分比、3连击数量、4陷阱命中次数、5减员数量）	星级参数2（1数量）	星级条件（1通关、2通关时间、3剩余血量、4最大连击数、5陷阱、6是否减员）	星级参数1	星级参数2（1数量）	星级条件（1通关、2通关时间、3剩余血量、4最大连击数、5陷阱、6是否减员）	星级参数1	星级参数2（1数量）	星级条件（1通关、2通关时间、3剩余血量、4最大连击数、5陷阱、6是否减员）	星级参数1（1时间、2血量百分比、3连击数量、4陷阱命中次数、5减员数量）	星级参数2（1数量）	星级条件（1通关、2通关时间、3剩余血量、4最大连击数、5陷阱、6是否减员）	星级参数1（1时间、2血量百分比、3连击数量、4陷阱命中次数、5减员数量）	星级参数2（1数量）	场景介绍
int	int	int	string	int	string	string	string	int	int	int	int	int	int	int	int	int	int	float	int	string	int	int	string	string	string	float	int	string	int	int	string	int	int	string	int	int	string	int	int	string	int	string
Id	Type	CopyChapter	CopyName	ReplicaBar	BarName	SceneRes	SceneMusic	CopyType	ReplicaDifficulty	PhysicalNeed	ActorsNum	Monster1Id	Monster2Id	ChestId	Exp	Gold	Diamonds	DiamondProbability	FirstRewardType	FirstRewardNumber	MinLevel	EnterLimit	OpenTime	CloseTime	Music	LimitTime	Condition1	Condition1Param1	Condition1Param2	Condition2	Condition2Param1	Condition2Param2	Condition3	Condition3Param1	Condition3Param2	Condition4	Condition4Param1	Condition4Param2	Condition5	Condition5Param1	Condition5Param2	Describe
101	2	1	恶魔城	1	恶魔城缘起	gulangyuditu	a_gulangyumusic	0	1	2	1	1		1	10	700	10	25	2	8#1	1				loginScene.mp3	150	1			3	10		2	140		5	1					比加纪204年5月7日；“你为何而来？”黑的岩看向我，而我望向天边：“我啊？也许，是为了找到一个人……”
102	2	1	恶魔城	2	神秘的刺客	gulangyuditu1	a_gulangyumusic	0	1	2	2	2	1	1	15	760	10	25	3	10001#2	1				loginScene.mp3	150	1			3	10		2	140								比加纪204年5月8日；那些刺客追地我有些狼狈，但还好有黑岩在。我本想问她有关领主的事，但她好像并没有什么兴趣。
103	2	1	恶魔城	3	领主的护卫	gulangyuditu1	a_gulangyumusic	0	1	2	1	3		1	20	820	10	25	1	20	1				loginScene.mp3	150	1			3	10		2	140								比加纪204年5月16日；我们在街上遇到了一只精灵，他说他也要找到一个人。“我要去的地方叫做密林，我已经离开那里很久了。”他说这话时眼里露着无尽的哀伤
104	2	1	恶魔城	4	恶魔城霸主	gulangyuditu2	a_gulangyumusic	0	1	2	2	4	5	1	25	880	10	25	1	30	1				loginScene.mp3	150	1			2	145		3	25								比加纪204年5月16日；“正因为如此，才更需要有人能平息战争！”这样的情形让我想起了那年，他也对我说过同样的话。
105	2	1	恶魔城	5	惊叹或怀疑	gulangyuditu2	a_gulangyumusic	0	1	2	2	6	7	1	30	940	10	25	1	30	1				loginScene.mp3	150	1			3	10		2	140								比加纪204年5月17日；我从黑岩的眼里看到了惊奇，她像是想起了什么。她问我：“你到底是谁？”然而，我只是一个普通人……
106	2	1	恶魔城	6	剑光下的脸	gulangyuditu3	a_gulangyumusic	0	1	2	2	8	9	1	35	1000	10	25	1	30	1				loginScene.mp3	150	1			2	145		6									比加纪204年5月17日；在最危险的时候，有人救了我们。那个人拿着刀的背影显得有些清瘦，他转头对我们说：“还不快跑！”
107	2	1	恶魔城	7	隐秘的事情	gulangyuditu3	a_gulangyumusic	0	1	2	2	10	11	1	50	1060	10	25	1	50	1				loginScene.mp3	150	1			2	145		3	25								比加纪204年5月19日；那个老头隐去了一身杀气，坐在阳光中背对着我。“世道要变了啊”他说这句话的时候，我看着窗外破旧的老爷车正出神。
201	2	2	德克之心	1	又遇狼叔	shamo	a_shamomusic	0	1	2	2	12	13	2	80	1120	10	25	1	20	1				loginScene.mp3	150	1			3	15		2	140								比加纪204年5月19日；那个老头隐去了一身杀气，坐在阳光中背对着我。“世道要变了啊”他说这句话的时候，我看着窗外破旧的老爷车正出神。
202	2	2	德克之心	2	精灵宝钻	shamo1	a_shamomusic	0	1	2	2	14	15	2	90	1180	10	25	1	20	1				loginScene.mp3	150	1			3	15		6									比加纪204年5月23日；狼叔目光专注地看着我：“既然要阻止战争，总要有些实力吧”，当年领主可是把他们打了个遍呢！
