#商店表											
#id	物品ID	物品名称	物品图标	数量	交易货币类型(0金币;1钻石)	交易限制类型(0不限制;1个人数量限制;2集体数量限制)	购买限制（0不限制、1VIP、2爵位）	VIP限制等级（0不限制、1VIP1、2VIP2、3VIP3、4VIP4、5VIP5、6VIP6、7VIP7、8VIP8、9VIP9、10VIP10）	爵位限制等级（0不限制、1男爵、2子爵、3伯爵、4侯爵、5公爵	价格	刷新权重
int	int	string	string	int	int	int	int	int	int	string	float
Id	ItemId	Name	Icon	Num	CoinType	LimitType	PurchaseRestriction	VipLimit	ALimit	Price	wight
1	3	山石姬	tempItem	1	1	0	0	0	0	200	10
2	4	绿崽	tempItem	1	1	0	0	0	0	200	10
3	5	艾利查卡多	tempItem	1	1	0	0	0	0	200	10
4	6	技术草	tempItem	1	1	0	0	0	0	200	10
5	7	佐小弟	tempItem	1	1	0	0	0	0	1500	10
6	8	吃货一郎	tempItem	1	1	0	0	0	0	800	10
7	9	僵sir	tempItem	1	1	0	0	0	0	1000	10
8	10	糯米团子	tempItem	1	1	0	0	0	0	5000	0
9	1003	山石姬聚魂石	tempItem	5	0	0	0	0	0	5000	10
10	1004	绿崽聚魂石	tempItem	5	0	0	0	0	0	5000	10
11	1005	艾利查卡多聚魂石	tempItem	5	0	0	0	0	0	5000	10
12	1006	技术草聚魂石	tempItem	5	0	0	0	0	0	5000	10
13	1007	佐小弟聚魂石	tempItem	5	0	0	0	0	0	20000	10
14	1008	吃货一郎聚魂石	tempItem	5	0	0	0	0	0	10000	10
15	1009	僵sir聚魂石	tempItem	5	0	0	0	0	0	8000	10
16	1010	糯米团子聚魂石	tempItem	5	0	0	0	0	0	50000	0
17	2001	初级经验丹	tempItem	5	0	0	0	0	0	1000	10
18	2002	中级经验丹	tempItem	5	0	0	0	0	0	5000	10
19	2003	高级经验丹	tempItem	5	0	0	0	0	0	25000	10
20	2004	顶级经验丹	tempItem	5	0	0	0	0	0	125000	10
21	2200	小体力丹	tempItem	1	1	0	0	0	0	5	10
22	2201	中体力丹	tempItem	1	1	0	0	0	0	15	10
23	2202	大体力丹	tempItem	1	1	0	0	0	0	30	10
24	2203	超级体力丹	tempItem	1	1	0	0	0	0	80	10
25	2101	5000金币	tempItem	1	1	0	0	0	0	-2525	10
26	2102	10000金币	tempItem	1	1	0	0	0	0	-2525	10
27	2103	20000金币	tempItem	1	1	0	0	0	0	-2525	10
28	2104	50000金币	tempItem	1	1	0	0	0	0	-2525	10
29	2105	100000金币	tempItem	1	1	0	0	0	0	-2525	10
30	2106	500000金币	tempItem	1	1	0	0	0	0	-2525	10
31	3000	强化石	tempItem	5	1	0	0	0	0	5	10
32	3000	强化石	tempItem	10	1	0	0	0	0	10	10
33	3000	强化石	tempItem	20	1	0	0	0	0	20	10
34	3000	强化石	tempItem	50	1	0	0	0	0	50	10
35	3000	强化石	tempItem	100	1	0	0	0	0	100	10
36	3100	圣王宝箱	tempItem	1	1	0	0	0	0	200	10
37	3100	圣王宝箱	tempItem	5	1	0	0	0	0	900	10
38	3100	圣王宝箱	tempItem	10	1	0	0	0	0	1600	10
39	3100	圣王宝箱	tempItem	100	1	0	0	0	0	10000	10
40	4001	白羊辉耀	tempItem	1	0	0	0	0	0	5000	0
41	4002	白羊凝聚	tempItem	1	0	0	0	0	0	5000	0
42	4003	白羊光芒	tempItem	1	0	0	0	0	0	5000	0
43	4004	白羊不死	tempItem	1	0	0	0	0	0	5000	0
44	4005	白羊旋舞	tempItem	1	0	0	0	0	0	5000	0
45	4006	白羊之心	tempItem	1	0	0	0	0	0	5000	0
46	4007	白羊之魂	tempItem	1	0	0	0	0	0	5000	0
47	4008	金牛辉耀	tempItem	1	0	0	0	0	0	10000	0
48	4009	金牛凝聚	tempItem	1	0	0	0	0	0	10000	0
49	4010	金牛光芒	tempItem	1	0	0	0	0	0	10000	0
50	4011	金牛不死	tempItem	1	0	0	0	0	0	10000	0
51	4012	金牛旋舞	tempItem	1	0	0	0	0	0	10000	0
52	4013	金牛之心	tempItem	1	0	0	0	0	0	10000	0
53	4014	金牛之魂	tempItem	1	0	0	0	0	0	10000	0
54	4015	双子辉耀	tempItem	1	0	0	0	0	0	25000	0
55	4016	双子凝聚	tempItem	1	0	0	0	0	0	25000	0
56	4017	双子光芒	tempItem	1	0	0	0	0	0	25000	0
57	4018	双子不死	tempItem	1	0	0	0	0	0	25000	0
58	4019	双子旋舞	tempItem	1	0	0	0	0	0	25000	0
59	4020	双子之心	tempItem	1	0	0	0	0	0	25000	0
60	4021	双子之魂	tempItem	1	0	0	0	0	0	25000	0
61	4022	巨蟹辉耀	tempItem	1	1	0	0	0	0	100	0
62	4023	巨蟹凝聚	tempItem	1	1	0	0	0	0	100	0
63	4024	巨蟹光芒	tempItem	1	1	0	0	0	0	100	0
64	4025	巨蟹不死	tempItem	1	1	0	0	0	0	100	0
65	4026	巨蟹旋舞	tempItem	1	1	0	0	0	0	100	0
66	4027	巨蟹之心	tempItem	1	1	0	0	0	0	100	0
67	4028	巨蟹之魂	tempItem	1	1	0	0	0	0	100	0
68	4029	狮子辉耀	tempItem	1	1	0	0	0	0	200	0
69	4030	狮子凝聚	tempItem	1	1	0	0	0	0	200	0
70	4031	狮子光芒	tempItem	1	1	0	0	0	0	200	0
71	4032	狮子不死	tempItem	1	1	0	0	0	0	200	0
