#活动时间表			
#id	次数	刷新消耗货币类型（1金币、2钻石）	货币数量
int	int	int	int
Id	Num	Type	ConsumptionQuantity
1	1	1	100
2	2	1	300
3	3	1	500
4	4	1	700
5	5	1	900
6	6	1	1400
7	7	1	1900
8	8	1	2400
9	9	1	2900
10	10	1	3400
11	11	1	3900
12	12	1	4400
13	13	1	4900
14	14	1	5400
15	15	1	5900
16	16	1	6400
17	17	1	6900
18	18	1	7400
19	19	1	7900
20	20	1	8400
21	21	2	2
22	22	2	5
23	23	2	10
24	24	2	20
25	25	2	50
26	26	2	100
27	27	2	100
28	28	2	200
29	29	2	200
30	30	2	200
31	31	2	400
32	32	2	400
33	33	2	400
34	34	2	400
35	35	2	800
36	36	2	800
37	37	2	800
38	38	2	800
39	39	2	800
40	40	2	1600
