#等级经验表			
#ID	需要的金钱	需要的金钱	需要的金钱
int	int	int	int
id	skill1	skill2	skill3
1	100	200	500
2	200	400	1000
3	500	1000	2500
4	1000	2000	5000
5	2000	4000	10000
6	3000	6000	15000
7	4000	8000	20000
8	5000	10000	25000
9	6000	12000	30000
10	7000	14000	35000
11	8000	16000	40000
12	9000	18000	45000
13	10000	20000	50000
14	11000	22000	55000
15	12000	24000	60000
16	13000	26000	65000
17	14000	28000	70000
18	15000	30000	75000
19	16000	32000	80000
20	17000	34000	85000
21	18000	36000	90000
22	19000	38000	95000
23	20000	40000	100000
24	21000	42000	105000
25	22000	44000	110000
26	23000	46000	115000
27	24000	48000	120000
28	25000	50000	125000
29	26000	52000	130000
30	27000	54000	135000
31	28000	56000	140000
32	29000	58000	145000
33	30000	60000	150000
34	31000	62000	155000
35	32000	64000	160000
36	33000	66000	165000
37	34000	68000	170000
38	35000	70000	175000
39	36000	72000	180000
40	37000	74000	185000
41	38000	76000	190000
42	39000	78000	195000
43	40000	80000	200000
44	41000	82000	205000
45	42000	84000	210000
46	43000	86000	215000
47	44000	88000	220000
48	45000	90000	225000
49	46000	92000	230000
50	47000	94000	235000
51	48000	96000	240000
52	49000	98000	245000
53	50000	100000	250000
54	51000	102000	255000
55	52000	104000	260000
56	53000	106000	265000
57	54000	108000	270000
58	55000	110000	275000
59	56000	112000	280000
60	57000	114000	285000
61	58000	116000	290000
62	59000	118000	295000
63	60000	120000	300000
64	61000	122000	305000
65	62000	124000	310000
66	63000	126000	315000
67	64000	128000	320000
68	65000	130000	325000
69	66000	132000	330000
70	67000	134000	335000
71	68000	136000	340000
72	69000	138000	345000
73	70000	140000	350000
74	71000	142000	355000
75	72000	144000	360000
76	73000	146000	365000
77	74000	148000	370000
78	75000	150000	375000
79	76000	152000	380000
80	77000	154000	385000
81	78000	156000	390000
82	79000	158000	395000
83	80000	160000	400000
84	81000	162000	405000
85	82000	164000	410000
86	83000	166000	415000
87	84000	168000	420000
88	85000	170000	425000
89	86000	172000	430000
90	87000	174000	435000
