#人物信息表			
#ID	星座名	位置X	位置Y
int	string	int	int
id	name	posx	posy
101	白羊座	48	209
102	白羊座	100	270
103	白羊座	150	324
104	白羊座	200	380
105	白羊座	280	450
106	白羊座	350	430
201	金牛座	308	161
202	金牛座	245	213
203	金牛座	218	302
204	金牛座	165	290
205	金牛座	80	405
206	金牛座	132	470
301	双子座	202	125
302	双子座	234	210
303	双子座	324	338
304	双子座	336	396
305	双子座	251	436
306	双子座	93	240
401	巨蟹座	158	125
402	巨蟹座	360	213
403	巨蟹座	297	242
404	巨蟹座	162	298
405	巨蟹座	135	373
406	巨蟹座	75	490
501	狮子座	121	115
502	狮子座	170	175
503	狮子座	127	223
504	狮子座	302	325
505	狮子座	203	403
506	狮子座	238	500
601	处女座	201	120
602	处女座	118	167
603	处女座	290	235
604	处女座	260	380
605	处女座	132	400
606	处女座	275	503
701	天平座	215	133
702	天平座	308	205
703	天平座	323	385
704	天平座	211	482
705	天平座	158	360
706	天平座	90	313
801	天蝎座	95	187
802	天蝎座	129	114
803	天蝎座	220	163
804	天蝎座	200	265
805	天蝎座	320	390
806	天蝎座	267	487
901	射手座	118	160
902	射手座	52	282
903	射手座	180	300
904	射手座	151	395
905	射手座	272	415
906	射手座	262	265
1001	魔蝎座	55	213
1002	魔蝎座	143	186
1003	魔蝎座	208	191
1004	魔蝎座	275	230
1005	魔蝎座	305	470
1006	魔蝎座	160	293
1101	水瓶座	302	166
1102	水瓶座	161	160
1103	水瓶座	83	261
1104	水瓶座	124	350
1105	水瓶座	279	326
1106	水瓶座	315	502
1201	双鱼座	77	100
1202	双鱼座	261	123
1203	双鱼座	333	115
1204	双鱼座	236	235
1205	双鱼座	170	430
1206	双鱼座	204	500
