#强化表		
#强化等级	发挥度	升级所需的经验值
int	string	int
StrengthenLeve	ExertPecent	StrengthenExperience
0	0.1	1
1	0.11	2
2	0.12	3
3	0.13	4
4	0.14	5
5	0.15	6
6	0.16	7
7	0.17	8
8	0.18	9
9	0.19	10
10	0.2	15
11	0.21	20
12	0.22	25
13	0.23	30
14	0.24	35
15	0.25	40
16	0.26	45
17	0.27	50
18	0.28	60
19	0.29	70
20	0.3	80
21	0.32	90
22	0.34	100
23	0.36	150
24	0.38	200
25	0.4	250
26	0.42	300
27	0.44	350
28	0.46	400
29	0.48	450
30	0.5	500
31	0.52	600
32	0.54	700
33	0.56	800
34	0.58	900
35	0.6	1000
36	0.62	1100
37	0.64	1200
38	0.66	1300
39	0.68	1400
40	0.7	1600
41	0.74	1800
42	0.78	2000
43	0.82	2200
44	0.86	2400
45	0.9	2600
46	0.94	2800
47	0.98	3000
48	1.02	3200
49	1.06	3400
50	1.1	4400
51	1.14	5400
52	1.18	6400
53	1.22	7400
54	1.26	8400
55	1.3	9400
