#人物信息表	
#ID	对话内容（1000-2000段的ID为铁匠铺说话ID）
int	string
id	dialog
1	很多人以为我是近程刀剑
2	他们会飞快地跑向我
3	试图给我致命一击
4	于是我冲他们的膝盖开了一炮
5	作为一个神圣的胖子
6	我每天的工作很简单
7	就是挨打
8	因此他们都叫我豆豆
9	前几天绿崽被恶灵打了
10	于是绿崽说蜘蛛侠是猪队友
11	因为绿崽让蜘蛛侠藏在花丛中
12	而蜘蛛侠偏偏跟他一起藏在草丛里
13	你听说了吗？
14	最近八神写书了
15	好像叫什么万菊抄
16	我得去看看……
17	那个拿着手机的……
18	你看着我做什么……
19	……
20	白痴……
21	我的皮肤可以弹弹弹~
22	弹弹弹~
23	于是我决定
24	我要做一个有弹性的男人！
25	不要看也不要戳
26	最好不要说话
27	最最好不要呼吸
28	我可是会哭给你看的
29	我只能用一句，包含我真诚意
30	用心去吟唱的诗，哀求你
31	请姑娘你听一听
32	听完我这一句，希望你不要嫌弃
1000	1001#1002
1001	已强化过的装备被用作材料时，会将80%的经验转移到新装备上
1002	已强化过的装备被用作材料时，会将50%的金钱返回给你
