#物品表配置信息																				
装备id（碎片的ID+1000；）	初始力量	初始体质	初始敏捷	初始智力	初始专注	初始血量	初始魔法	单位时间恢复魔法量	魔法值上限	初始物理攻击力	初始魔法攻击力	初始物理防御力	初始魔法防御力	初始命中	初始闪避	初始暴击	初始暴击抵抗	初始暴击伤害	初始物理破甲	初始无视魔免
int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float
Id	InitialForce	InitialConstitution	InitialAgility	InitialIntelligence	InitialFocus	InitialBlood	InitialMagic	TimeRecoveryMagic	MagicUpperLimit	InitialPhysicalAttack	InitialMagicAttack	InitialPhysicalDefense	InitialMagicDefense	InitialHit	InitialDodge	InitialCritical	InitialCriticalResistance	InitialCriticalStrikes	PhysicalPenetration	MagicPenetration
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
23	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
24	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
26	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
27	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
28	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
30	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
31	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
33	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
35	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
36	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
